TYPES,C,H,N,S,O,Ash,Moisture,Volatile matter,Fixed carbon,Temperature (°C),S/B,Gasifier type,H2,CO,CO2,CH4,Tar (g/Nm3),Gas (Nm3/kg),Char (g/kg)
Type-P,51.05,6.232,0.404,0.097,42.952,0.28,0.0,81.127,17.296,786.381,0.948,fluid,57.386,14.195,22.74,5.896,13.912,1.066,106.225
Type-V,48.961,6.652,0.757,0.528,34.597,7.02,9.155,76.943,14.671,808.691,1.394,fix,51.683,19.15,21.69,7.566,0.753,1.327,106.999
Type-V,46.818,7.365,0.783,0.5,32.146,6.755,8.779,77.92,13.847,828.423,1.383,fix,56.881,17.463,21.006,5.001,0.227,1.706,105.636
Type-R,51.339,6.486,0.149,0.182,43.531,0.331,4.717,75.305,18.594,810.811,0.579,fluid,45.313,26.488,18.549,9.729,1.974,0.943,214.013
Type-R,48.667,6.798,0.166,0.212,46.288,0.365,5.058,82.084,17.089,833.536,0.125,fluid,40.084,31.391,18.774,9.916,3.103,0.737,248.287
Type-O,49.375,6.181,0.039,0.0,40.699,0.493,9.817,74.608,18.859,788.169,1.183,fix,29.974,44.216,13.441,12.366,342.991,0.688,8.58
Type-O,52.786,6.116,0.043,0.0,42.59,0.506,9.096,87.408,19.283,852.895,1.261,fix,30.19,39.656,17.989,12.169,293.54,0.668,6.733
Type-V,50.685,6.606,0.795,0.498,34.618,7.24,9.574,79.456,16.039,768.872,1.304,fix,48.321,24.367,19.851,7.635,0.791,1.334,108.487
Type-K,52.743,5.504,0.6,0.01,35.0,7.322,0.0,66.531,19.471,833.374,0.763,fix,40.256,24.247,23.775,11.63,12.651,0.7,231.936
Type-M,46.922,6.563,0.237,0.0,46.032,0.53,11.153,79.581,15.377,838.32,0.721,fluid,48.074,21.068,22.787,8.142,13.267,1.223,101.285
Type-W,58.674,4.891,0.435,0.118,38.485,1.96,0.0,73.52,22.47,739.53,1.153,fluid,53.081,17.701,22.841,6.022,11.863,1.006,95.126
Type-I,48.38,6.194,1.152,0.207,34.302,9.247,9.812,62.263,17.772,591.706,1.102,fix,25.925,38.33,19.832,15.912,12.568,1.105,132.593
Type-A,32.994,4.482,0.259,0.0,45.321,16.59,9.662,70.007,17.777,774.315,0.763,fluid,51.906,22.255,18.702,7.076,35.55,0.841,141.646
Type-K,50.077,5.227,0.614,0.01,39.534,7.271,0.0,74.835,21.348,863.567,0.598,fix,40.687,24.075,23.713,11.6,14.346,0.662,243.354
Type-N,48.481,5.33,0.25,0.342,38.858,5.922,0.0,74.211,13.945,830.451,1.34,fix,48.693,15.039,33.587,2.956,32.461,1.301,149.734
Type-C,33.941,5.415,0.989,0.088,45.299,13.279,0.0,73.991,10.417,510.012,1.154,fix,16.75,52.668,21.854,8.65,12.132,0.168,99.56
Type-P,48.005,5.666,0.397,0.103,45.105,0.29,0.0,87.043,15.483,765.646,0.674,fluid,56.925,14.272,22.827,5.918,13.354,1.108,111.021
Type-R,49.139,6.443,0.168,0.192,40.891,0.353,4.974,77.254,17.815,769.678,0.572,fluid,44.617,26.761,18.628,9.77,2.227,0.813,208.25
Type-M,46.93,6.393,0.252,0.0,42.289,0.473,10.81,79.984,14.774,794.743,0.548,fluid,43.864,23.589,23.085,9.214,12.26,1.135,117.516
Type-N,47.47,5.439,0.248,0.338,40.255,5.385,0.0,83.632,14.773,843.788,0.964,fix,53.807,23.264,20.999,1.355,0.0,1.722,102.064
Type-Q,49.804,6.383,0.141,0.199,41.434,0.34,5.008,73.136,17.867,917.219,0.417,fluid,54.773,20.578,17.33,7.494,15.012,1.406,94.192
Type-Q,46.888,6.548,0.165,0.186,41.877,0.395,4.971,86.038,18.335,798.207,1.037,fluid,51.222,22.12,18.598,8.042,15.262,1.538,103.254
Type-I,48.379,6.251,1.315,0.218,35.198,8.957,9.16,61.003,15.847,912.073,1.697,fix,50.101,18.899,26.271,4.833,10.789,2.51,26.948
Type-E,40.893,5.173,0.194,0.0,53.025,1.402,8.242,92.556,12.96,700.125,0.804,fluid,58.978,22.563,12.307,6.154,36.902,0.982,145.107
Type-D,39.791,5.122,0.198,0.0,52.185,2.191,10.728,88.023,13.899,649.76,0.849,fluid,40.207,29.103,21.165,9.524,98.652,0.547,211.332
Type-B,34.425,5.062,0.354,0.0,45.139,14.074,7.945,65.468,17.61,701.036,0.646,fluid,46.336,28.939,16.84,7.894,52.708,0.752,114.346
Type-V,51.105,7.125,0.862,0.493,32.182,6.812,9.664,76.727,15.063,793.354,1.961,fix,54.179,17.288,24.392,4.065,0.815,1.442,104.039
Type-E,42.909,6.122,0.2,0.0,48.606,1.308,8.13,84.502,15.127,747.114,0.745,fluid,52.152,22.754,17.52,7.214,21.085,1.339,54.827
Type-I,45.734,6.272,1.155,0.217,33.391,9.566,9.263,60.864,16.534,592.7,1.531,fix,25.938,38.317,19.832,15.912,13.639,1.18,134.97
Type-O,47.005,5.775,0.043,0.0,45.753,0.552,9.622,80.899,18.913,821.642,1.418,fix,30.352,43.847,13.44,12.365,357.884,0.74,8.228
Type-V,52.197,6.674,0.846,0.528,32.823,7.458,9.078,76.939,15.223,782.805,1.532,fix,53.965,17.333,24.433,4.072,0.917,1.404,102.703
Type-D,39.312,5.277,0.192,0.0,52.478,2.373,11.023,88.983,13.534,632.599,0.514,fluid,39.889,29.256,21.199,9.54,104.991,0.519,204.987
Type-O,48.105,5.633,0.038,0.0,45.06,0.531,8.972,92.473,20.724,855.471,1.175,fix,33.222,42.051,14.209,10.525,250.057,0.767,5.948
Type-R,52.077,6.447,0.178,0.193,44.691,0.354,5.089,75.105,16.812,770.369,0.542,fluid,44.629,26.757,18.627,9.77,1.865,0.92,213.264
Type-E,39.543,6.567,0.206,0.0,48.419,1.34,8.267,84.369,14.071,783.337,0.803,fluid,52.888,22.545,17.427,7.176,20.205,1.375,55.415
Type-N,50.851,5.883,0.246,0.331,40.332,5.973,0.0,80.132,15.362,902.289,1.012,fix,54.171,23.641,20.867,1.344,0.0,1.355,95.232
Type-N,51.198,5.493,0.271,0.337,40.682,5.867,0.0,79.511,15.023,789.849,1.253,fix,47.96,15.193,33.782,2.973,30.321,1.253,144.828
Type-A,34.753,4.399,0.258,0.0,42.88,15.953,9.818,70.241,16.155,786.035,0.784,fluid,52.141,22.188,18.671,7.065,37.181,0.919,128.708
Type-N,47.773,5.501,0.271,0.321,36.875,5.397,0.0,82.703,14.551,777.637,0.729,fix,42.454,13.657,38.003,6.089,58.604,0.955,183.187
Type-F,48.375,6.881,0.942,0.109,43.446,1.705,12.182,79.157,15.122,926.612,1.329,fluid,52.878,25.09,14.059,8.034,12.938,1.416,100.114
Type-V,48.714,6.625,0.854,0.5,34.658,7.638,9.065,76.797,17.027,751.788,1.137,fix,47.993,24.478,19.893,7.651,0.836,1.2,104.382
Type-N,49.421,5.151,0.266,0.343,37.647,5.803,0.0,80.29,15.788,900.014,1.181,fix,54.834,22.977,20.843,1.345,0.0,1.702,84.386
Type-M,45.463,6.744,0.225,0.0,43.687,0.478,11.018,77.533,16.213,837.234,1.063,fluid,48.501,19.897,23.621,8.043,11.731,1.193,89.922
Type-D,43.341,5.22,0.214,0.0,54.339,2.224,11.589,86.045,12.582,596.654,0.609,fluid,39.222,29.578,21.273,9.573,96.014,0.639,194.519
Type-I,51.462,6.721,1.22,0.219,35.397,8.983,9.978,59.995,17.027,910.288,0.798,fix,50.071,18.907,26.276,4.834,13.057,2.505,26.014
Type-I,45.799,6.129,1.216,0.213,34.147,10.014,9.537,66.073,16.915,875.217,1.988,fix,54.159,17.918,24.858,2.81,11.839,1.425,44.243
Type-F,46.594,5.829,0.956,0.108,46.078,1.659,11.364,71.562,15.14,762.603,1.189,fluid,72.769,8.893,7.414,11.862,12.614,0.696,97.698
Type-V,48.588,6.52,0.803,0.471,35.674,6.648,9.969,82.114,16.05,745.456,1.053,fix,47.872,24.519,19.909,7.657,0.753,1.332,95.86
Type-M,49.289,6.589,0.23,0.0,43.421,0.478,10.746,74.853,16.205,852.773,0.363,fluid,44.796,23.262,22.946,9.158,13.753,1.123,102.849
Type-V,49.739,6.555,0.827,0.475,32.827,7.476,9.582,74.936,16.145,785.424,1.453,fix,48.639,24.258,19.809,7.619,0.792,1.328,99.764
Type-N,46.725,5.341,0.252,0.336,39.58,5.317,0.0,79.749,14.557,692.533,1.283,fix,36.103,12.102,40.772,10.979,101.688,0.868,169.31
Type-S,46.51,6.255,0.099,0.0,45.712,0.499,0.0,88.549,12.617,917.824,1.216,fix,43.024,33.746,15.991,7.331,13.009,1.344,107.497
Type-N,50.1,5.271,0.276,0.335,41.339,5.506,0.0,77.294,15.835,897.964,0.269,fix,39.019,48.116,12.244,0.617,14.789,0.779,147.462
Type-S,54.249,6.745,0.106,0.0,45.007,0.519,0.0,78.845,11.914,721.834,1.124,fix,36.751,30.807,21.888,10.654,13.24,0.552,98.79
Type-V,48.248,6.713,0.817,0.503,32.871,7.525,9.175,78.401,16.356,797.643,1.263,fix,56.232,17.598,21.114,5.027,0.229,1.637,101.907
Type-F,44.218,6.225,0.998,0.116,44.32,1.557,12.689,73.63,15.181,864.218,1.259,fluid,60.971,14.838,16.864,7.936,13.272,1.174,112.405
Type-F,49.218,6.531,0.912,0.113,43.931,1.457,12.001,69.999,15.526,698.488,1.349,fluid,70.859,9.054,7.544,12.071,13.164,0.767,99.584
Type-D,40.181,5.08,0.194,0.0,49.583,2.298,10.342,80.404,15.309,803.383,0.76,fluid,53.948,22.243,18.314,6.105,50.294,0.921,202.2
Type-R,52.433,6.215,0.153,0.192,40.261,0.341,5.137,70.085,16.538,845.853,0.871,fluid,43.627,30.427,17.961,8.268,1.525,0.936,185.97
Type-W,55.766,5.533,0.397,0.118,38.252,2.002,0.0,83.14,24.843,762.167,0.473,fluid,41.594,30.309,17.091,10.959,12.186,0.996,109.516
Type-O,49.41,6.514,0.041,0.0,46.345,0.554,9.718,77.792,18.008,859.513,1.346,fix,33.269,42.011,14.208,10.525,247.245,0.753,6.357
Type-V,53.543,6.801,0.863,0.505,33.302,7.374,8.751,79.907,15.127,827.51,0.824,fix,50.0,22.801,15.761,11.693,7.487,1.287,100.054
Type-V,52.806,7.293,0.728,0.512,35.316,7.315,8.718,82.905,15.945,809.638,1.456,fix,58.16,16.657,22.151,2.517,0.183,1.858,112.608
Type-V,52.866,6.247,0.807,0.447,33.059,6.389,9.058,75.823,15.454,811.113,1.022,fix,34.952,24.242,25.947,14.906,38.182,0.732,96.168
Type-F,41.469,6.456,1.007,0.104,41.547,1.559,12.47,77.996,14.812,879.647,1.062,fluid,52.07,25.346,14.137,8.078,13.004,1.478,95.08
Type-F,48.421,6.202,1.011,0.112,46.072,1.613,12.011,74.411,14.871,784.478,1.499,fluid,59.22,15.13,17.111,8.052,13.334,1.341,99.845
Type-C,37.957,5.367,0.953,0.088,42.375,12.607,0.0,78.709,10.826,705.655,1.025,fix,45.875,29.455,17.681,7.036,12.459,0.556,106.044
Type-N,49.769,5.479,0.266,0.352,37.892,5.971,0.0,83.784,13.652,761.446,1.333,fix,47.447,15.301,33.92,2.985,32.661,1.25,162.728
Type-R,48.612,6.673,0.165,0.197,43.249,0.303,4.996,71.184,15.917,791.551,0.201,fluid,39.52,34.429,15.577,10.434,2.536,0.904,233.546
Type-A,35.738,4.935,0.272,0.0,46.826,14.18,10.299,66.646,16.314,780.456,0.949,fluid,52.029,22.22,18.686,7.07,37.307,0.912,136.874
Type-S,53.483,7.113,0.093,0.0,45.042,0.509,0.0,84.435,12.705,509.232,0.721,fix,7.854,38.192,41.175,12.734,13.116,0.15,89.118
Type-A,36.675,4.637,0.257,0.0,48.565,14.293,9.736,71.905,16.462,774.039,0.688,fluid,51.901,22.256,18.703,7.077,34.828,0.791,146.894
Type-F,48.49,6.025,1.009,0.108,44.596,1.545,11.756,74.88,14.636,905.469,1.016,fluid,52.514,25.205,14.094,8.054,13.389,1.463,105.943
Type-R,53.319,6.588,0.158,0.187,41.782,0.335,4.855,75.294,15.502,803.718,0.469,fluid,39.701,34.325,15.565,10.427,2.388,0.852,230.231
Type-G,48.557,5.767,8.992,0.0,37.01,1.079,7.884,78.003,18.204,832.076,0.589,fluid,43.793,33.102,11.689,11.489,44.688,1.772,100.553
Type-E,39.175,6.558,0.206,0.0,47.691,1.193,8.805,77.639,14.159,739.795,0.781,fluid,57.058,20.89,15.653,6.261,26.369,1.217,103.361
Type-D,37.931,5.154,0.218,0.0,48.632,2.572,11.216,83.301,13.725,679.468,0.709,fluid,47.495,20.956,21.941,9.403,70.777,0.7,200.397
Type-H,48.583,5.568,1.001,0.234,41.705,4.069,9.692,76.296,13.801,704.4,2.34,fluid,85.738,4.237,1.134,9.842,13.719,1.37,23.615
Type-F,48.911,6.472,1.008,0.105,45.557,1.543,12.224,68.877,14.631,902.499,1.238,fluid,52.463,25.221,14.099,8.057,12.966,1.49,100.697
Type-D,41.876,5.034,0.189,0.0,52.888,2.272,10.878,78.465,13.606,807.415,0.749,fluid,53.377,22.405,17.367,7.151,32.209,0.986,180.702
Type-F,44.072,6.78,0.999,0.111,46.097,1.574,12.778,73.052,14.695,773.638,0.942,fluid,64.091,12.988,13.989,8.993,12.848,0.908,96.158
Type-N,55.252,5.57,0.239,0.334,39.512,5.541,0.0,83.508,14.617,863.187,1.001,fix,53.465,23.846,20.972,1.351,0.0,1.369,94.688
Type-V,54.559,6.62,0.705,0.49,34.436,7.069,9.276,79.56,15.865,833.138,2.898,fix,53.928,15.947,24.993,5.499,1.621,1.429,101.401
Type-R,49.69,6.502,0.143,0.199,44.841,0.361,5.023,74.257,17.705,801.878,0.222,fluid,39.614,31.642,18.816,9.938,2.998,0.746,225.014
Type-O,53.181,5.895,0.036,0.0,42.728,0.593,9.483,75.553,19.152,902.594,1.701,fix,30.719,39.191,17.977,12.161,260.24,0.697,6.217
Type-F,43.369,6.478,1.086,0.104,47.17,1.543,12.491,72.656,14.763,778.652,1.461,fluid,64.216,12.971,13.974,8.983,11.736,0.93,104.698
Type-B,37.063,4.884,0.357,0.0,45.239,15.124,8.337,71.405,17.976,731.72,0.618,fluid,50.934,24.201,18.372,6.299,35.936,0.959,77.511
Type-F,43.251,6.179,0.957,0.112,42.058,1.607,12.263,69.486,15.915,831.141,1.109,fluid,55.808,20.382,15.24,8.128,13.026,1.39,98.516
Type-N,48.971,5.334,0.233,0.334,40.315,5.193,0.0,76.088,14.122,915.559,0.333,fix,39.248,47.928,12.239,0.616,14.293,0.747,153.576
Type-B,33.677,4.829,0.354,0.0,43.744,15.069,7.825,67.474,18.312,617.245,0.759,fluid,37.959,35.774,17.226,8.874,103.222,0.513,154.264
Type-H,45.998,5.566,0.897,0.26,39.806,4.093,8.823,84.045,14.786,650.578,1.736,fluid,81.471,12.456,3.943,1.337,12.273,1.19,24.494
Type-B,38.147,5.278,0.288,0.0,42.812,14.024,8.052,71.736,17.071,636.595,0.905,fluid,38.303,35.563,17.203,8.862,100.102,0.534,186.585
Type-E,45.231,6.789,0.197,0.0,50.45,1.257,8.181,85.575,12.947,801.291,0.813,fluid,58.467,20.548,15.487,6.195,28.044,1.18,102.714
Type-F,47.948,6.351,1.102,0.108,44.789,1.49,11.662,69.212,13.197,865.449,1.126,fluid,56.477,20.223,15.162,8.086,13.097,1.223,104.479
Type-E,41.491,5.958,0.196,0.0,51.755,1.376,8.596,77.831,14.548,637.488,0.923,fluid,51.761,28.46,11.362,8.263,76.075,0.661,202.101
Type-I,51.759,6.071,1.2,0.22,34.209,9.055,9.715,62.386,15.67,753.344,1.267,fix,42.316,25.575,23.468,8.328,12.837,2.35,50.713
Type-N,56.199,5.631,0.246,0.346,40.835,5.546,0.0,88.031,15.527,944.296,0.258,fix,41.956,42.35,13.393,2.461,7.613,0.854,132.511
Type-R,50.297,6.549,0.17,0.216,41.684,0.312,5.09,78.804,17.029,765.325,0.183,fluid,39.071,31.931,18.863,9.963,3.08,0.812,252.787
Type-N,50.303,5.131,0.244,0.307,40.322,5.877,0.0,74.631,14.575,913.286,0.417,fix,41.529,42.644,13.411,2.464,6.666,0.987,125.237
Type-R,48.943,7.106,0.169,0.199,44.596,0.299,5.35,81.155,16.019,804.786,0.222,fluid,39.657,31.619,18.812,9.936,3.038,0.683,233.417
Type-I,51.631,6.496,1.225,0.211,34.484,8.554,9.586,63.21,17.122,808.423,1.527,fix,43.206,25.227,23.341,8.283,12.304,2.239,47.79
Type-A,33.211,4.671,0.236,0.0,48.383,14.552,9.541,70.998,17.621,716.039,0.623,fluid,54.743,19.019,19.485,6.32,46.412,0.788,147.132
Type-W,51.006,5.073,0.415,0.116,42.406,2.101,0.0,68.034,21.522,734.161,0.427,fluid,41.138,30.529,17.131,10.985,12.646,1.117,105.81
Type-P,50.523,5.521,0.397,0.096,41.033,0.274,0.0,86.388,17.256,752.759,0.952,fluid,56.639,14.319,22.882,5.932,13.065,0.995,106.058
Type-I,52.289,6.565,1.167,0.207,35.873,9.647,9.027,67.864,16.785,907.726,2.538,fix,54.751,17.789,24.743,2.797,11.903,1.503,41.153
Type-G,46.634,5.556,8.711,0.0,37.978,1.127,7.967,69.778,17.318,796.864,0.477,fluid,43.231,33.387,11.721,11.521,46.172,1.694,110.655
Type-K,46.298,5.17,0.638,0.009,37.334,6.377,0.0,68.049,20.972,864.432,0.469,fix,41.266,24.409,22.025,12.383,13.579,0.755,209.877
Type-I,45.808,7.159,1.315,0.214,33.716,8.434,9.763,65.642,16.381,926.649,1.623,fix,50.343,18.838,26.223,4.824,12.88,2.354,26.776
Type-D,39.909,5.721,0.207,0.0,44.596,2.464,11.07,77.874,14.86,736.726,0.939,fluid,52.54,22.644,18.499,6.166,47.453,0.857,194.542
Type-Q,52.27,6.492,0.155,0.191,41.204,0.346,5.119,86.093,18.176,916.766,0.945,fluid,55.19,20.389,17.17,7.425,12.452,1.7,102.214
Type-P,51.016,5.561,0.399,0.104,43.211,0.257,0.0,88.055,15.004,759.846,0.352,fluid,27.987,41.608,13.689,16.715,12.492,1.018,102.481
Type-O,47.787,6.273,0.039,0.0,41.196,0.552,9.729,86.199,18.889,854.512,1.314,fix,30.207,39.64,17.988,12.169,256.039,0.77,6.772
Type-E,41.56,6.355,0.208,0.0,51.991,1.198,7.867,87.69,13.609,724.811,0.854,fluid,59.601,22.404,12.25,6.125,36.444,0.957,132.419
Type-N,50.87,5.895,0.253,0.351,40.099,5.927,0.0,78.051,15.238,888.021,1.143,fix,54.615,23.039,20.876,1.347,0.0,1.847,94.871
Type-O,47.918,6.348,0.037,0.0,44.697,0.517,9.006,73.195,17.292,883.496,1.407,fix,39.572,34.156,17.294,8.909,133.194,0.894,4.542
Type-E,44.849,6.351,0.198,0.0,51.205,1.443,8.82,81.635,14.087,718.984,0.705,fluid,59.454,22.442,12.264,6.132,38.712,0.971,141.646
Type-W,51.324,5.053,0.403,0.12,38.833,1.871,0.0,73.88,22.801,817.383,0.689,fluid,52.397,18.843,23.2,6.066,12.955,0.945,103.246
Type-N,48.524,5.743,0.256,0.32,39.173,6.209,0.0,80.344,14.223,859.118,0.345,fix,40.782,43.159,13.442,2.47,6.865,0.945,128.11
Type-O,50.758,5.963,0.037,0.0,43.111,0.573,8.499,76.849,18.556,862.564,1.001,fix,30.292,39.565,17.986,12.167,281.485,0.756,6.881
Type-O,46.098,6.238,0.042,0.0,43.876,0.554,8.784,77.493,18.123,886.393,1.219,fix,30.546,39.343,17.981,12.164,264.012,0.698,6.281
Type-I,47.014,6.946,1.133,0.228,33.442,9.309,10.023,62.073,17.014,796.905,0.956,fix,43.02,25.3,23.367,8.293,12.436,2.309,49.172
Type-Q,46.845,6.895,0.16,0.199,44.514,0.373,5.44,85.471,18.299,701.413,0.759,fluid,51.031,18.992,16.996,12.997,17.453,1.31,102.383
Type-D,40.818,5.457,0.199,0.0,48.224,2.382,10.84,88.43,14.546,705.574,0.632,fluid,48.031,20.8,21.857,9.367,71.769,0.717,197.949
Type-F,44.06,6.435,0.977,0.11,46.11,1.691,11.111,77.604,15.864,787.692,1.291,fluid,64.441,12.94,13.947,8.966,13.182,0.948,105.409
Type-I,47.829,6.83,1.143,0.235,36.268,9.898,9.014,63.61,17.648,911.302,1.468,fix,54.816,17.775,24.73,2.795,11.749,1.644,42.802
Type-D,40.205,5.389,0.188,0.0,53.195,2.529,11.262,89.27,12.993,753.785,0.713,fluid,52.9,22.541,18.451,6.15,44.071,0.891,185.362
Type-I,49.739,6.345,1.242,0.204,33.895,8.601,9.578,62.67,16.535,921.969,2.283,fix,55.01,17.733,24.693,2.791,13.218,1.577,44.918
Type-P,52.016,6.252,0.427,0.1,46.443,0.262,0.0,81.9,16.409,810.659,0.463,fluid,28.543,41.06,13.688,16.714,12.366,1.023,106.99
Type-I,48.0,6.793,1.191,0.218,34.621,9.331,9.615,67.204,17.132,765.846,1.425,fix,42.518,25.496,23.439,8.318,12.769,2.225,46.311
Type-O,48.718,6.213,0.04,0.0,41.179,0.541,9.112,79.149,17.228,866.403,1.361,fix,35.123,39.529,14.808,10.577,258.799,0.918,6.608
Type-C,37.501,5.736,0.877,0.088,46.996,12.776,0.0,77.28,11.356,731.763,0.905,fix,46.388,29.235,17.629,7.016,12.903,0.59,97.74
Type-D,38.968,5.409,0.209,0.0,50.563,2.414,10.058,75.717,12.754,701.692,1.005,fluid,41.171,28.638,21.059,9.477,105.035,0.582,201.187
Type-N,51.941,5.432,0.279,0.355,38.851,5.63,0.0,75.869,14.72,893.029,0.998,fix,53.439,15.95,28.863,2.188,3.132,1.368,93.31
Type-M,43.096,5.914,0.236,0.0,45.341,0.512,11.26,75.946,15.6,842.66,1.101,fluid,48.596,19.871,23.604,8.038,12.238,1.288,81.813
Type-I,42.317,6.805,1.104,0.215,38.171,9.283,10.201,65.303,16.019,721.251,1.368,fix,30.626,36.03,21.778,11.603,13.163,1.425,69.65
Type-E,43.904,6.468,0.202,0.0,52.773,1.274,8.833,87.883,13.887,658.658,0.73,fluid,57.929,22.831,12.404,6.202,37.634,0.955,153.745
Type-F,43.4,6.464,1.006,0.11,49.731,1.561,12.312,75.527,14.699,837.065,0.753,fluid,57.571,17.836,16.868,7.938,8.417,1.059,115.382
Type-E,42.356,6.363,0.19,0.0,52.257,1.317,8.938,82.739,14.581,724.291,0.858,fluid,56.703,20.976,15.695,6.278,27.519,1.259,98.752
Type-I,42.022,6.123,1.155,0.211,37.239,8.374,8.989,65.642,17.064,886.128,2.85,fix,47.808,16.601,33.057,2.424,12.478,1.511,105.097
Type-N,47.954,5.396,0.24,0.366,41.624,5.918,0.0,79.436,13.713,880.571,0.911,fix,53.207,15.997,28.915,2.192,3.391,1.342,103.865
Type-P,53.256,6.364,0.368,0.102,41.743,0.267,0.0,84.456,16.384,764.014,0.393,fluid,28.032,41.563,13.689,16.715,12.846,1.054,103.908
